"Model";"Var";"p.value";"OR 95% CI";"Sex"
"Model 1";"s(heightdiff_rel)";0.000175979750350108;NA;"male"
"Model 2";"Excess.weight1";NA;"1.98 (1.26-3.12)";"male"
"Model 2";"education1";NA;"0.95 (0.6-1.52)";"male"
"Model 2";"socialclassmedium";NA;"0.98 (0.59-1.65)";"male"
"Model 2";"socialclasshigh";NA;"1.12 (0.58-2.15)";"male"
"Model 2";"regionMiddle";NA;"0.83 (0.46-1.53)";"male"
"Model 2";"regionNorth";NA;"1.04 (0.62-1.73)";"male"
"Model 2";"s(heightdiff_rel)";0.00107944485644018;NA;"male"
"Model 2";"s(SITAR_size_height)";0.509121624580743;NA;"male"
"Model 3";"Excess.weight1";NA;"1.97 (1.25-3.1)";"male"
"Model 3";"education1";NA;"1 (0.62-1.61)";"male"
"Model 3";"socialclassmedium";NA;"1.04 (0.61-1.75)";"male"
"Model 3";"socialclasshigh";NA;"1.17 (0.6-2.25)";"male"
"Model 3";"regionMiddle";NA;"0.81 (0.44-1.49)";"male"
"Model 3";"regionNorth";NA;"1.01 (0.6-1.69)";"male"
"Model 3";"smoking1";NA;"1.55 (0.98-2.45)";"male"
"Model 3";"fruits1";NA;"1.05 (0.64-1.73)";"male"
"Model 3";"exercise1";NA;"0.74 (0.47-1.16)";"male"
"Model 3";"s(heightdiff_rel)";0.000786554397694705;NA;"male"
"Model 3";"s(SITAR_size_height)";0.631130986885841;NA;"male"
"Model 1";"s(heightdiff_rel)";0.0116719150017143;NA;"female"
"Model 2";"Excess.weight1";NA;"1.6 (1.03-2.49)";"female"
"Model 2";"education1";NA;"0.97 (0.66-1.42)";"female"
"Model 2";"regionMiddle";NA;"0.9 (0.57-1.41)";"female"
"Model 2";"regionNorth";NA;"1 (0.65-1.52)";"female"
"Model 2";"socialclassmedium";NA;"0.99 (0.65-1.52)";"female"
"Model 2";"socialclasshigh";NA;"1.08 (0.63-1.84)";"female"
"Model 2";"s(heightdiff_rel)";0.0172183808578569;NA;"female"
"Model 2";"s(SITAR_size_height)";0.738375169023531;NA;"female"
"Model 3";"Excess.weight1";NA;"1.62 (1.04-2.52)";"female"
"Model 3";"education1";NA;"0.98 (0.66-1.45)";"female"
"Model 3";"socialclassmedium";NA;"1.02 (0.66-1.57)";"female"
"Model 3";"socialclasshigh";NA;"1.09 (0.64-1.86)";"female"
"Model 3";"regionMiddle";NA;"0.9 (0.57-1.42)";"female"
"Model 3";"regionNorth";NA;"0.98 (0.64-1.5)";"female"
"Model 3";"smoking1";NA;"1.08 (0.74-1.58)";"female"
"Model 3";"fruits1";NA;"0.87 (0.56-1.36)";"female"
"Model 3";"exercise1";NA;"1.27 (0.87-1.85)";"female"
"Model 3";"s(heightdiff_rel)";0.0149435665980827;NA;"female"
"Model 3";"s(SITAR_size_height)";0.744108875784574;NA;"female"
