"Model";"Var";"p.value";"OR 95% CI";"Sex"
"Model 1";"s(heightdiff_rel)";0.0121746526714994;NA;"male"
"Model 2";"Excess.weight1";NA;"1.47 (0.92-2.35)";"male"
"Model 2";"education1";NA;"0.55 (0.34-0.89)";"male"
"Model 2";"socialclassmedium";NA;"1.01 (0.59-1.73)";"male"
"Model 2";"socialclasshigh";NA;"1.03 (0.52-2.05)";"male"
"Model 2";"regionMiddle";NA;"0.45 (0.22-0.9)";"male"
"Model 2";"regionNorth";NA;"1.02 (0.61-1.69)";"male"
"Model 2";"s(heightdiff_rel)";0.0476848565677291;NA;"male"
"Model 2";"s(SITAR_size_height)";0.187912796893799;NA;"male"
"Model 3";"Excess.weight1";NA;"1.47 (0.92-2.34)";"male"
"Model 3";"education1";NA;"0.57 (0.35-0.93)";"male"
"Model 3";"socialclassmedium";NA;"1.04 (0.6-1.78)";"male"
"Model 3";"socialclasshigh";NA;"1.07 (0.54-2.13)";"male"
"Model 3";"regionMiddle";NA;"0.44 (0.22-0.89)";"male"
"Model 3";"regionNorth";NA;"1 (0.6-1.67)";"male"
"Model 3";"smoking1";NA;"1.31 (0.82-2.09)";"male"
"Model 3";"fruits1";NA;"0.87 (0.53-1.42)";"male"
"Model 3";"exercise1";NA;"0.88 (0.55-1.4)";"male"
"Model 3";"s(heightdiff_rel)";0.0519555961178653;NA;"male"
"Model 3";"s(SITAR_size_height)";0.171317070018198;NA;"male"
"Model 1";"s(heightdiff_rel)";0.00455438389445822;NA;"female"
"Model 2";"Excess.weight1";NA;"2.72 (1.71-4.34)";"female"
"Model 2";"education1";NA;"1.11 (0.72-1.73)";"female"
"Model 2";"regionMiddle";NA;"0.85 (0.52-1.39)";"female"
"Model 2";"regionNorth";NA;"0.57 (0.34-0.95)";"female"
"Model 2";"socialclassmedium";NA;"0.76 (0.47-1.23)";"female"
"Model 2";"socialclasshigh";NA;"0.74 (0.4-1.37)";"female"
"Model 2";"s(heightdiff_rel)";0.0427108973257964;NA;"female"
"Model 2";"s(SITAR_size_height)";0.0866328003971739;NA;"female"
"Model 3";"Excess.weight1";NA;"2.86 (1.78-4.58)";"female"
"Model 3";"education1";NA;"1.16 (0.74-1.82)";"female"
"Model 3";"socialclassmedium";NA;"0.81 (0.49-1.32)";"female"
"Model 3";"socialclasshigh";NA;"0.82 (0.44-1.52)";"female"
"Model 3";"regionMiddle";NA;"0.9 (0.55-1.48)";"female"
"Model 3";"regionNorth";NA;"0.54 (0.32-0.9)";"female"
"Model 3";"smoking1";NA;"1.91 (1.25-2.93)";"female"
"Model 3";"fruits1";NA;"1.34 (0.79-2.29)";"female"
"Model 3";"exercise1";NA;"1.2 (0.77-1.86)";"female"
"Model 3";"s(heightdiff_rel)";0.046830481348533;NA;"female"
"Model 3";"s(SITAR_size_height)";0.0690871605466569;NA;"female"
